c13191,m15260
c13195,m12020
c13197,m17980
c13199,m12060
c13207,m31420
c13213,m19140
c13215,m17980
c13217,m12060
c13219,m12020
c13221,m12020
c13223,m12060
c13227,m12060
c13231,m12060
c13245,m12260
c13247,m12060
c13255,m12060
c13273,m10500
c13289,m31420
c13295,m16860
c13297,m12060
c13313,m19140
c13321,m10500
c16001,m14260
c16005,m38540
c16015,m14260
c16019,m26820
c16027,m14260
c16041,m30860
c16045,m14260
c16051,m26820
c16055,m17660
c16069,m30300
c16073,m14260
c16077,m38540
c17005,m41180
c17007,m40420
c17013,m41180
c17019,m16580
c17027,m41180
c17031,m16980
c17037,m16980
c17043,m16980
c17053,m16580
c17063,m16980
c17073,m19340
c17083,m41180
c17089,m16980
c17091,m28100
c17093,m16980
c17097,m16980
c17111,m16980
c17113,m14060
c17115,m19500
c17117,m41180
c17119,m41180
c17123,m37900
c17129,m44100
c17131,m19340
c17133,m41180
c17143,m37900
c17147,m16580
c17161,m19340
c17163,m41180
c17167,m44100
c17175,m37900
c17179,m37900
c17183,m19180
c17197,m16980
c17201,m40420
c17203,m37900
c18003,m23060
c18005,m18020
c18007,m29140
c18011,m26900
c18013,m26900
c18015,m29140
c18019,m31140
c18021,m45460
c18029,m17140
c18035,m34620
c18039,m21140
c18043,m31140
c18047,m17140
c18051,m21780
c18055,m14020
c18057,m26900
c18059,m26900
c18061,m31140
c18063,m26900
c18067,m29020
c18073,m16980
c18081,m26900
c18089,m16980
c18091,m33140
c18095,m11300
c18097,m26900
c18105,m14020
c18109,m26900
c18111,m16980
c18115,m17140
c18119,m14020
c18127,m16980
c18129,m21780
c18133,m26900
c18141,m43780
c18145,m26900
c18153,m45460
c18157,m29140
c18159,m29020
c18163,m21780
c18165,m45460
c18167,m45460
c18173,m21780
c18175,m31140
c18179,m23060
c18183,m23060
c19011,m16300
c19013,m47940
c19017,m47940
c19049,m19780
c19061,m20220
c19075,m47940
c19077,m19780
c19085,m36540
c19103,m26980
c19105,m16300
c19113,m16300
c19121,m19780
c19129,m36540
c19153,m19780
c19155,m36540
c19163,m19340
c19169,m11180
c19181,m19780
c19183,m26980
c19193,m43580
c20015,m48620
c20043,m41140
c20045,m29940
c20059,m28140
c20079,m48620
c20085,m45820
c20087,m45820
c20091,m28140
c20103,m28140
c20107,m28140
c20121,m28140
c20139,m45820
c20173,m48620
c20177,m45820
c20191,m48620
c20197,m45820
c20209,m28140
c21015,m17140
c21017,m30460
c21019,m26580
c21023,m17140
c21029,m31140
c21037,m17140
c21047,m17300
c21049,m30460
c21059,m36980
c21061,m14540
c21067,m30460
c21077,m17140
c21081,m17140
c21089,m26580
c21091,m36980
c21093,m21060
c21101,m21780
c21103,m31140
c21111,m31140
c21113,m30460
c21117,m17140
c21123,m21060
c21149,m36980
c21163,m31140
c21179,m31140
c21185,m31140
c21191,m17140
c21209,m30460
c21211,m31140
c21215,m31140
c21221,m17300
c21223,m31140
c21227,m14540
c21233,m21780
c21239,m30460
c22005,m12940
c22015,m43340
c22017,m43340
c22019,m29340
c22023,m29340
c22031,m43340
c22033,m12940
c22037,m12940
c22043,m10780
c22047,m12940
c22051,m35380
c22055,m29180
c22057,m26380
c22063,m12940
c22071,m35380
c22073,m33740
c22075,m35380
c22077,m12940
c22079,m10780
c22087,m35380
c22089,m35380
c22091,m12940
c22095,m35380
c22099,m29180
c22103,m35380
c22109,m26380
c22111,m33740
c22121,m12940
c22125,m12940
c23001,m30340
c23005,m38860
c23019,m12620
c23023,m38860
c23031,m38860
c24001,m19060
c24003,m12580
c24005,m12580
c24009,m47900
c24013,m12580
c24015,m37980
c24017,m47900
c24021,m47900
c24025,m12580
c24027,m12580
c24031,m47900
c24033,m47900
c24035,m12580
c24039,m41540
c24043,m25180
c24045,m41540
c24510,m12580
c25001,m12700
c25003,m38340
c25005,m39300
c25009,m14460
c25011,m44140
c25013,m44140
c25015,m44140
c25017,m14460
c25021,m14460
c25023,m14460
c25025,m14460
c25027,m49340
c26015,m24340
c26017,m13020
c26021,m35660
c26025,m12980
c26027,m43780
c26037,m29620
c26045,m29620
c26049,m22420
c26065,m29620
c26067,m24340
c26075,m27100
c26077,m28020
c26081,m24340
c26087,m19820
c26093,m19820
c26099,m19820
c26115,m33780
c26121,m34740
c26123,m24340
c26125,m19820
c26139,m26100
c26145,m40980
c26147,m19820
c26159,m28020
c26161,m11460
c26163,m19820
c27003,m33460
c27009,m41060
c27017,m20260
c27019,m33460
c27025,m33460
c27027,m22020
c27037,m33460
c27039,m40340
c27053,m33460
c27055,m29100
c27059,m33460
c27109,m40340
c27119,m24220
c27123,m33460
c27137,m20260
c27139,m33460
c27141,m33460
c27145,m41060
c27157,m40340
c27163,m33460
c27171,m33460
c28029,m27140
c28033,m32820
c28035,m25620
c28039,m37700
c28045,m25060
c28047,m25060
c28049,m27140
c28059,m37700
c28073,m25620
c28089,m27140
c28093,m32820
c28111,m25620
c28121,m27140
c28127,m27140
c28131,m25060
c28137,m32820
c28143,m32820
c29003,m41140
c29013,m28140
c29019,m17860
c29021,m41140
c29025,m28140
c29027,m27620
c29037,m28140
c29043,m44180
c29047,m28140
c29049,m28140
c29051,m27620
c29055,m41180
c29059,m44180
c29063,m41140
c29071,m41180
c29077,m44180
c29089,m17860
c29095,m28140
c29097,m27900
c29099,m41180
c29107,m28140
c29113,m41180
c29119,m22220
c29135,m27620
c29145,m27900
c29151,m27620
c29165,m28140
c29167,m44180
c29177,m28140
c29183,m41180
c29189,m41180
c29219,m41180
c29221,m41180
c29225,m44180
c29510,m41180
c30009,m13740
c30013,m24500
c30063,m33540
c30111,m13740
c31025,m36540
c31043,m43580
c31051,m43580
c31055,m36540
c31109,m30700
c31153,m36540
c31155,m36540
c31159,m30700
c31177,m36540
c32003,m29820
c32029,m39900
c32031,m39900
c32510,m16180
c33011,m31700
c33015,m14460
c33017,m14460
c34001,m12100
c34003,m35620
c34005,m37980
c34007,m37980
c34009,m36140
c34011,m47220
c34013,m35620
c34015,m37980
c34017,m35620
c34019,m35620
c34021,m45940
c34023,m35620
c34025,m35620
c34027,m35620
c34029,m35620
c34031,m35620
c34033,m37980
c34035,m35620
c34037,m35620
c34039,m35620
c34041,m10900
c35001,m10740
c35013,m29740
c35043,m10740
c35045,m22140
c35049,m42140
c35057,m10740
